company_name,company_number_0,company_number_1,company_number_2,company_number_3,company_number_4,company_email_0,company_email_1,company_email_2,company_link_0,company_link_1,company_link_2,company_link_3,price_0,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11
#nomad travel,+44 1902 943711,,,,,day2and8testing@nomadtravel.co.uk,,,www.nomadtravel.co.uk,,,,20.0,,,,,,,,,,,
*everything genetic ltd,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,,,covidtests.everythinggeneticltd.co.uk,,,,115.0,,,,,,,,,,,
+001 expert covid testing uk,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,www.expertcovidtestinguk.com,,,,20.0,,,,,,,,,,,
+247 travel tests,+44 333 210 2247,,,,,info@247traveltests.com,,,www.247traveltests.com,,,,20.0,,,,,,,,,,,
+44 covid test,+44 20 3950 3394,,,,,hello@0044covidtest.com,,,0044covidtest.com,,,,20.0,99.0,,,,,,,,,,
.0000covid 19 private test ltd,+44 330 133 3844,,,,,info@covidtravelpcr.com,,,covidtravelpcr.com,,,,199.0,,,,,,,,,,,
.0001 ace-thetix,+44 20 7193 6318,,,,,covid@testingservices.online,,,www.testingservices.online,,,,155.0,,,,,,,,,,,
.001expert tms limited,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,www.expertcovidtestinguk.com,,,,20.0,,,,,,,,,,,
.001my express testing,+44 161 672 5190,,,,,enquiries@myexpresstesting.co.uk,,,www.myexpresstesting.co.uk,,,,20.0,,,,,,,,,,,
.004 medical testing,+44 161 989 5333,,,,,info@4mdicaltesting.co.uk,info@4medicaltesting.co.uk,,4medicaltesting.co.uk,,,,99.0,40.0,,,,,,,,,,
.expert doctors,+44 1274 270270,,,,,support@expertdoctors.uk,,,www.expertdoctors.uk,,,,20.0,,,,,,,,,,,
.medical covid test,+44 161 527 7960,,,,,support@medicalcovidtest.com,,,www.medicalcovidtest.com,,,,24.0,,,,,,,,,,,
0 covid clear,,,,,,help@0covidclear.com,,,www.0covidclear.com,,,,178.0,20.0,,,,,,,,,,
0+blindspot global,+44 333 242 0580,,,,,info@blindspotglobal.com,,,www.blindspotglobal.com,,,,20.0,120.0,,,,,,,,,,
0+g16 covid testing,+44 20 3991 6493,,,,,arrivals@coronatest.co.uk,,,www.coronatest.co.uk,,,,20.0,,,,,,,,,,,
0-100 travel 19,,,,,,hello@travel19.co.uk,,,www.travel19.co.uk,,,,20.0,,,,,,,,,,,
