company_name,company_link,company_number,company_email,price
laser and light,www.thelaserandlightclinic.co.uk,+44 1509 266882,info@thelaserandlightclinic.co.uk,95.0
mdna life sciences,www.nph-group.co.uk,+44 776833371,h.smart@mdnalifesciences.com,95.0
eurofins forensic services,www.eurofins.co.uk,+44 1925 248802,covid19administration@eurofins.co.uk,98.9
testing for all,www.testingforall.org,+44 20 3301 1100,travel@testingforall.org,105.0
1 covclinics,www.1covclinics.co.uk,+44 161 529 5488,info@covclinics.co.uk,114.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,115.0
nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,115.0
same day clinic,www.samedayclinic.co.uk,+44 20 8050 4353,info@pharmesthetics.com,115.0
dante labs,dantelabs.co.uk,+44 808 196 5659,contact@dantelabs.com,116.0
everything genetic ltd,everythinggeneticltd.co.uk,+44 1270 623179,covidtestbookings@everythinggeneticltd.co.uk,119.0
alphabiolabs,www.alphabiolabs.co.uk,+44 1925 255450,covid@alphabiolabs.com,120.0
blindspot global,blindspotglobal.com,+44 333 242 0580,info@blindspotglobal.com,120.0
randox laboratories,www.randoxhealth.com,+44 28 9442 2413,covidcustomersupport@randox.com,120.0
source bioscience,coviduk.sourcebioscience.com,+44 115 973 9012,covid@sourcebioscience.com,120.0
medicines online,medicinesonline.org.uk,+44 20 3637 0384,cs@medicinesonline.org.uk,124.0
acethetix testing services,www.testingservices.online,+44 20 7193 3618,covid@testingservices.online,125.0
101 testing,101testing.co.uk,+44 20 3488 8434,info@101testing.co.uk,132.0
healthium clinics,healthiumclinics.com,+44 1491 756015,info@healthiumclinics.com,134.0
abicare health solutions ltd (riva health),abicarehealth.co.uk,+44 161 518 2999,results@abicarehealth.co.uk,135.0
sirkka networks limited,www.sirkkanetworks.com,+44 330 088 1263,day2day8@sirkkaltd.com,135.0
chhp and ceritific,certific.chhp.com,+44 20 3989 8008,support.chhp@certific.co,139.0
medicines online ltd,medicinesonline.org.uk,+44 20 3637 0384,cs@medicinesonline.org.uk,145.0
expert tms limited,www.expertcovidtestinguk.com,+44 1925 691542,enquiries@expertcovidtestinguk.com,148.0
atruchecks,covid19tests.atruchecks.com,+44 20 3500 2019,help@atruchecks.com,149.0
everything genetic,everythinggeneticltd.co.uk,+44 1270 623179,info@everythinggeneticltd.co.uk,149.0
medical diagnosis,www.medical-diagnosis.net,+44 20 8830 0503,info@medical-diagnosis.co.uk,149.0
247hometesting,247hometesting.com,+44 20397683534,info@247hometesting.com,150.0
biogroup laboratory,biogroup-laboratory.co.uk,+44 20 3885 0078,traveltestpackage@biogroup-laboratory.co.uk,150.0
coronafocus by oncologica uk,covid19.oncologica.com,+44 1223 785327,test@covidprotected.co.uk,150.0
harveyrhys clinic,covidoc.co.uk,+44 330 124 6530,testing@covidoc.co.uk,150.0
medi-park clinic,www.mediparkclinic.uk,+44 20 8341 3185,info@mediparkclinic.uk,150.0
screen4,screen4.org ,+44 1226 730052,covid19@screen4.org,150.0
001 covid test,001covidtest.co.uk,+44 330 133 4285,contact@001covidtest.co.uk,155.0
1 stop covid shop,www.1stopcovidshop.com,+44 7862 268224,contact@1stopcovidshop.com,155.0
1rapid clinics,rapidclinics.co.uk,+44 20 3137 5047,info@1rapidclinics.co.uk,155.0
atlas medical services ltd,atlasmed.co.uk,+44 20 8798 2520,covidtesting@atlasmed.co.uk,155.0
fakir chemist,www.fakirchemist.co.uk,+44 121 314 0789,info@fakirchemist.co.uk,155.0
live covid testing,livecovidtesting.co.uk,+44 330 223 5697,info@livecovidtesting.co.uk,155.0
masters pharmacy,pharmacyledclinic.co.uk,+44 121 270 6556,info@masterspharmacy.co.uk,155.0
my local travel clinic,www.mylocaltravelclinic.co.uk,+44 121 314 5022,info@mylocaltravelclinic.co.uk,155.0
nationwide pathology,nwp-online.co.uk,+44 1858 571322,covid@nationwidepathology.co.uk,155.0
