,company_name,registered_name
0,#nomad travel,
1,*everything genetic ltd,
2,+001 expert covid testing uk,
3,+247 travel tests,
4,+44 covid test,
5,.0000covid 19 private test ltd,covid private tests limited
6,.0001 ace-thetix,
7,.001expert tms limited,
8,.001my express testing,
9,.004 medical testing,j2 medical testing uk ltd
10,.expert doctors,expert doctors ltd
11,.medical covid test,
12,0 covid clear,covid clear environment ltd
13,0+blindspot global,blindspot ltd
14,0+g16 covid testing,
15,0-100 travel 19,
16,00 harley medic international,
17,000 book a travel test,
18,0000covid 19 private test ltd,covid private tests limited
19,0001ace-thetix,
20,0001travelscreening,
21,001 alpha express testing,
22,001 covid test,
23,001 digital health group ltd t/a pharma diagnostics,
24,001 expert covid testing uk,
25,001aexpresstesting,
26,001expert covid testing uk,
27,004 medical testing,4 medical testing limited
28,0044 covid test,
29,0044healthtesting,
30,004medical testing,
31,00analysis1,
32,00expert tms limited,
33,01 ct24 solutions ltd,
34,01 harley street,harley street breast clinics ltd
35,01 health hub,arts & health hub c.i.c.
36,01harleystreet,
37,01pcrtravel london,
38,01st class testing,
39,04 medical testing,4 medical testing limited
40,044 covid test,
41,0ptimized body & mind,
42,1  harley medic international,
43,1  nomad,
44,1 affordabletest.com,
45,1 alpha express testing,
46,1 corporate covid tests,
47,1 covclinics,
48,1 harley medic international,
49,1 health hub,
50,1 health hub ltd,
51,1 nhl pharmacy,
52,1 pcrtravel london,
53,1 st class testing,
54,1 stop covid shop,1 stop covid testing ltd
55,10 harley linknurse clinic london,
56,10 hs linknurse clinic london,
57,100 covid clear,
58,101 covid travel clinic,
59,101 expert doctors,expert doctors ltd
60,101 testing,
61,1010labs,
62,107 harley street,
63,118 testing,
64,118testing,
65,12-14 pharmacy,
66,121 covicall,
67,121 pure testing,just pure testing ltd
68,123 clinics,
69,123 covid labs,
70,123clinics,
71,123covidtests,
72,123tests.co.uk,
73,15 minute covid test,
74,1affordabletest,
75,1affordabletest.com,
76,1corporate covid tests,
77,1rapid clinics,
78,1st class testing,peters share class testing ltd
79,1st class testing ltd,peters share class testing ltd
80,1west end medical practice uk,west end medical practice (uk) ltd
81,1west end medical practice uk ltd,west end medical practice (uk) ltd
82,1westendmedicalpracticeuk,
83,20/30 labs,
84,247 travel tests,uk travel tests ltd
85,247hometesting,
86,247hometesting.com,
87,258 postal racoo screening ltd,
88,29 fleet street ltd,
89,29 fleet street ltd t/a fleet street clinic,
90,3a covid testing limited,ais covid testing ltd
91,3six health,3six healthcare limited
92,4 medical testing,j2 medical testing uk ltd
93,@01a my express testing,
94,@corona tests,
95,@covid19 health clinics limited,
96,@harley street nurses (t/a harley street nurses ltd),
97,a hasu diagnostics,
98,a1 covid testing,alpha biolaboratories covid-19 testing limited
99,a1 global testing limited,
100,a1 track&travel,
101,abbeycovidscreening,
102,abg covic ltd,
103,abicare health,abicare health solutions ltd
104,abicare health solutions,
105,abicare health solutions ltd (riva health),
106,accendolab limited,
107,ace-thetix,.0001 ace - thetix testing services ltd
108,acethetix,acethetix testing services online ltd
109,acethetix testing services,.0001 ace - thetix testing services ltd
110,acorn occupational health ltd,
111,advisa  medica,
112,advisa medica,
113,aeromedical consulting uk,
114,aesthetika clinic,
115,af aesthetics (enoura medical),
116,affinity health,affinity health ltd
117,afforable tfnow,
118,agg coventry ltd ta vantage chemist,
119,agilis health,
120,ais covid testing ltd,alpha biolaboratories covid-19 testing limited
121,al-shadhilli ltd,
122,alexandru livinschi (t/a bai long ltd),bai long limited
123,alexandru livinschi (t/a gat c-19),
124,all healthcare,all healthcare professionals matter too limited
125,alphabiolabs,
126,alphamedicol ltd,
127,alphamedicol ltd.,
128,ambulance services 24 ltd,
129,ambutech pre-hospital care,
130,amin pharmacy,
131,an sf screening and vaccination service,
132,analysis1,
133,andres pharmacy,
134,anglia dna services,
135,anglo belgravia,
136,apollo testing,
137,arrival diagnostics,
138,arrival test centre,
139,arriving uk,arriving limited
140,arrivinguk,
141,ask chemist,
142,assured screening,
143,assured screening.com,
144,assuredscreening.com,
145,atlas medical services ltd,
146,atropa blood clinic,
147,atruchecks,
148,audley pharmacy,
149,avante health ltd,
150,avante health private gp,
151,avery labs,avery 
152,avicenna health,avicenna healthcare ltd
153,bansals pharmacy,
154,bansals pharmacy (southend on sea),
155,"bansals pharmacy (southend on sea),",
156,barkerhouse pharmacy,
157,baseline medicine,
158,bestway national chemists t/a well pharmacy ltd,bestway national chemists limited
159,better2know,better2know international limited
160,biograd diagnostic laboratories,dna diagnostics laboratories limited
161,biograd diagnostics,
162,biogroup laboratory,
163,biolab london ltd,
164,biotherapy services,
165,black and banton,black & banton occupational and physical health limited
166,blackburn travel clinic,
167,blindspot global,blindspot ltd
168,blindspot global ltd,blindspot ltd
169,blue horizon medicals,
170,book a travel test,
171,boots uk,boots uk limited
172,bristol travel clinic,
173,brunswick hygiene,
174,brunswick hygiene ltd,
175,bupa occupational health ltd,
176,bupa occupational health ltd.,
177,c & h esher limited (t/a central pharmacy),
178,c & h esher ltd,
179,"c & h esher ltd t/a central pharmacy, esher",
180,c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus,cambridge clinical laboratories ltd
181,"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus",cambridge clinical laboratories ltd
182,c19 testing,c19 testing network limited
183,calder pharmacy & medspa clinic,
184,calder pharmacy & medspa clinic notting hill,
185,calder pharmacy & medspa clinic of notting hill,
186,caliber medical services,
187,candarin medical,
188,caxton pharmacy,
189,centennial medical care,
190,chase lodge hospital,chase lodge hospital pharmacy ltd
191,chb medical,chb medical limited
192,chb medical ltd,chb medical limited
193,check my body health,
194,chelsea medical,chelsea medics llp
195,chelsea pharmacy medical clinic,
196,"cheltenham, west midlands & worcester travel clinics",
197,"cheltenham, worcester & west midlands travel clinics",
198,"cheltenham, worcester and west midlands travel clinics",
199,chhp and ceritific,
200,chronomics,
201,cht,cht agri limited
202,church pharmacy,
203,church pharmacy weybridge,
204,churchill's pharmacy,
205,cignpost diagnostics,cignpost diagnostics limited
206,circular 1 health ltd,
207,citydoc medical,
208,citydoc medical limited,
209,ck doctors covid travel clinics,
210,claret diagnostics ltd,
211,clear diagnostics,clearsky medical diagnostics ltd
212,clear diagnostics ltd,clearsky medical diagnostics ltd
213,clinicare uk,a.p clinicare ltd
214,clnq,
215,coker chest clinic,
216,collingwood health,collingwood healthcare solutions ltd
217,collinson,collinson hall limited
218,complete covid tests,
219,concepto clinic,
220,concierge medical,concierge medical consultancy ltd
221,concierge medical practice,
222,confirm testing,
223,confirm testing limited,
224,consultant clinic,consultant clinic birmingham ltd
225,coop pharmacy,
226,corona test centre,
227,corona testing,
228,corona-testing,
229,coronafocus by oncologica uk,
230,coronafocus by oncologica uk ltd (t/a oncologica uk ltd),
231,corporate covid tests,
232,cosmebeaute,
233,courtfield private practice,
234,cov19 care,
235,cov19care ltd,
236,covguard,
237,covguard premium,
238,covid 19 private test ltd,covid private tests limited
239,covid clear clinic,
240,"covid fit to fly tes t/a nash travel, tourism and transport services ltd.",
241,covid mobile health services/remote trauma ld,
242,covid smart limited,
243,covid test,covid testing laboratories limited
244,covid test centre,
245,covid test hub,
246,covid test pick and drop,
247,covid test today,
248,covid testing laboraratories,
249,covid testing laboratories,
250,covid testing laboratories ltd,
251,covid travel clinics,
252,covid-19 travel clinic,
253,covid19 checking,
254,covid19 health clinics limited,active health clinics limited
255,covidfly,
256,covido,covid office conversions limited
257,covitests,
