,company_name,company_number_0,company_number_1,company_number_2,company_number_3,company_number_4,company_email_0,company_email_1,company_email_2,company_email_3,company_link_0,company_link_1,company_link_2,company_link_3
0,#nomad travel,+44 1902 943711,,,,,day2and8testing@nomadtravel.co.uk,,,,www.nomadtravel.co.uk,,,
1,*everything genetic ltd,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,,,,covidtests.everythinggeneticltd.co.uk,,,
2,+001 expert covid testing uk,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,,www.expertcovidtestinguk.com,,,
3,+247 travel tests,+44 333 210 2247,,,,,info@247traveltests.com,,,,www.247traveltests.com,,,
4,+44 covid test,+44 20 3950 3394,,,,,hello@0044covidtest.com,,,,0044covidtest.com,,,
5,.0000covid 19 private test ltd,+44 330 133 3844,,,,,info@covidtravelpcr.com,,,,covidtravelpcr.com,,,
6,.0001 ace-thetix,+44 20 7193 6318,,,,,"
covid@testingservices.online
",,,,www.testingservices.online,,,
7,.001expert tms limited,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,,www.expertcovidtestinguk.com,,,
8,.001my express testing,+44 161 672 5190,,,,,enquiries@myexpresstesting.co.uk,,,,www.myexpresstesting.co.uk,,,
9,.004 medical testing,+44 161 989 5333,,,,,info@4mdicaltesting.co.uk,info@4medicaltesting.co.uk,,,4medicaltesting.co.uk,,,
10,.expert doctors,+44 1274 270270,,,,,support@expertdoctors.uk,,,,www.expertdoctors.uk,,,
11,.medical covid test,+44 161 527 7960,,,,,support@medicalcovidtest.com,,,,www.medicalcovidtest.com,,,
12,0 covid clear,,,,,,help@0covidclear.com,,,,www.0covidclear.com,,,
13,0+blindspot global,+44 333 242 0580,,,,,info@blindspotglobal.com,,,,www.blindspotglobal.com,,,
14,0+g16 covid testing,+44 20 3991 6493,,,,,arrivals@coronatest.co.uk,,,,www.coronatest.co.uk,,,
15,0-100 travel 19,,,,,,hello@travel19.co.uk,,,,www.travel19.co.uk,,,
16,00 harley medic international,+44 330 390 3666,,,,,info@harleymedic.co.uk,,,,www.harleymedic.co.uk,,,
17,000 book a travel test,+44 20 3811 8197,,,,,"
support@bookatraveltest.com
",support@bookatraveltest.com,,,www.bookatraveltest.com,,,
18,0000covid 19 private test ltd,+44 330 133 3844,,,,,info@covidtravelpcr.com,,,,covidtravelpcr.com,,,
19,0001ace-thetix,+44 20 7193 6318,,,,,covid@testingservices.online,,,,testingservices.online,,,
20,0001travelscreening,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,,,,covidtests.everythinggeneticltd.co.uk,,,
