company_name,price
Expert Doctors,24
UK Health Testing,24.96
Expert TMS Limited,24.99
1 Health Hub,25
1010Labs,25
100 Covid Clear,28
CK DOCTORS COVID TRAVEL CLINICS,30
1AFFORDABLETEST.COM,34.99
My London Pharmacy,34.99
Quick Clinics,35
Occupational Health Bristol,38.99
247hometesting.com,39.99
1 Stop Covid Shop,40
123Clinics,40
Anglia DNA Services,40
004 Medical Testing,43.50
004 Medical Testing,43.50
Medicines Online Ltd,44
OPTIMIZED BODY & MIND,45
LIVE COVID TESTING,47
AIS Covid Testing Ltd,48
Hale Clinic Harley Street,49
Andres Pharmacy,50
Daya Pharmacy,50
Quick Clinics,50
Doctor Driver Assessment LTD,54.50
CROWN LABORATORIES LTD,55
Abicare Health,56
001 Covid Test,60
0044 COVID Test,60
0044 COVID Test,60
1 CovClinics,60
AccendoLAB Limited,60
Blindspot Global,60
Confirm Testing,60
Expert Medicals,60
RivaHealth,60
Screen4,60
004 Medical Testing,64
Quick Clinics,70
Sterling Testing,70
101 Testing,75
JDoc Medical Limited,75
PExpo Diagnostics,75
0044 COVID Test,80
1Corporate Covid Tests,84
Dante Labs,84
Kurix Health,84
CT24 Solutions Ltd,85
Mobihealth International,85
247 Travel Tests,86
Randox Health Airport Testing,86
Randox Laboratories Ltd,86
Apollo Testing,89
Brunswick Hygiene,89
Brunswick Hygiene Ltd,89
Now Test,90
OPTIMIZED BODY & MIND,90
A1 Track&Travel,95
Check My Body Health,96
I-Gen Testing Limited,98
LabMedExpert,98
Eurofins Forensic Services Ltd,98.90
A Hasu Diagnostics,99
Covid Test Pick And Drop,99
Future Health Technologies Limited,99
Klinical Enterprises Ltd T/A National Covid Testing,99
Nomad Travel,99
Protein Technologies Ltd / RapidityDX,99
Quick Clinics,99
Reading Fit to Fly,99
Testing For All,99
BioGrad Diagnostics,100
BioGrad diagnostics,100
Katalyst Laboratories,100
1Corporate Covid Tests,105
Coronafocus by Oncologica UK Ltd (t/a Oncologica UK Ltd),105
Abicare Health Solutions Ltd (Riva Health),109
Locaton Medical Services Ltd,110
The Health Suite,110
Harley Street Nurses Ltd,111
Nationwide Pathology Limited,111
Nationwide Pathology Limited,111
Nationwide Pathology Limited,111
Healthium Clinics,112
LabMedExpert Limited,115
Better2Know,119
Everything Genetic Ltd,119
ME360 HEALTHCARE LIMITED T/A me360 Testing Services,119
Medicines Online Ltd,119
treated.com,119
Blindspot Global Ltd,120
IQDOCTOR,120
La Perla Clinic,120
Private Harley Street Clinic,120
Rainbow Labs,120
Randox Health London Limited,120
Source BioScience,120
The Bridge Clinic,120
1West End Medical Practice UK Ltd,124
BRISTOL TRAVEL CLINIC,125
Baseline Medicine,129
Cignpost Diagnostics,129
ExpressTest by Cignpost Diagnostics,129
NL Clinic,129
AlphaBiolabs,130
Consultant Clinic,130
NIVHA Laboratory Services Ltd.,130
Premier Clinic Ltd,130
Sorcha Biotech,130
Tamsel (UK) Ltd,130
A1 Global Testing Limited,133.99
1Rapid Clinics,134
CityDoc Medical Limited,134
CityDoc Medical Limited,134
3A Covid Testing Limited,135
DNA Workplace,135
ME360 HEALTHCARE LIMITED T/A me360 Testing Services,135
Sirkka Networks Limited,135
TP Healthcare Services Ltd,135
CHHP and Ceritific,139
MHF Medical Concierge,139
OscarTech UK,139
T Consultants LTD,140
Northend Clinic,145
Recovery4Life,145
Advisa Medica,148
Healthyaa Clinic,148
Aeromedical Consulting UK,149
Bupa Occupational Health Ltd,149
Covid Testing Laboratories,149
FitnessGenes,149
ME360 HEALTHCARE LIMITED T/A me360 Testing Services,149
Travel Test Centre Ltd,149
107 Harley Street,150
123tests.co.uk,150
Biogroup Laboratory,150
Biolab London Ltd,150
Fit to Fly UK,150
Fusion Radiology Ltd,150
HarveyRhys Clinic,150
Heald Green Pharmacy,150
Qured,150
T Consultants Ltd,150
The New Foscote Hospital,150
UK EVENT MEDICS LTD,150
Kings Medical Centre,154
Project Screen by Prenetics,154
101 Covid Travel Clinic,155
Fakir Chemist,155
Masters (UK) Limited t/a Nechells Pharmacy and Masters Pharmacy,155
My Local Travel Clinic,155
Pennfields Pharmacy,155
Pharmacy led clinic,155
Af Aesthetics (Enoura Medical),159
ARRIVING UK,159
Ask Chemist,159
Assured Screening,159
"Cheltenham, Worcester & West Midlands Travel Clinics",159
D&A Screening Ltd,159
Enoura Medical (AF Aesthetics),159
Family Medics,159
Family Medics,159
FAMILY MEDICS,159
Forensic Genomics Innovation Hub Ltd,159
Halo Verify,159
Medi-Park Clinic,159
One Scientific Ltd,159
Optipharm Pharmacy,159
000 Book A Travel Test,159.99
10 HS LinkNurse Clinic LONDON,160
Biotherapy Services,160
Boots UK,160
CityDoc Medical Limited,160
Fusion Radiology Ltd,160
Heathrow Medical Services,160
Helix Services Limited also t/a Travel Test Assured,160
Northend Clinic,160
Orchard Clinic / Orchard Blood,160
Outcome Diagnostics (OutcomeDx),160
Scotnursing & Medical Services (SNMS),160
Travel Centre Clapham Ltd,160
Travel Centre Clapham Ltd,160
258 Postal Racoo Screening Ltd,165
Collinson,165
DGC Health LTD,165
Fit to Fly UK,165
LONDON CORONA TEST CENTRE,165
SYNLAB,165
Test Assurance Group,165
The Health Suite,165
The Montague Clinic,165
The Travel Health Clinic,165
Travel Centre Clapham,165
Tuli Health,165
Vaccination UK Ltd,165
The Clinic MK Ltd,168
Claret Diagnostics Ltd,169
CLARET DIAGNOSTICS LTD,169
Claret Diagnostics Ltd,169
CLARET DIAGNOSTICS LTD,169
CLARET DIAGNOSTICS LTD,169
Covid Clear Clinic,169
Covid Smart Limited,169
CQ Doctor,169
Medwyn Occupational Health,169
Fit2fly24/7 Ltd,169.98
Sterling Testing,169.99
Audley pharmacy,170
Check My Body Health,170
CTM (NHS T&T),170
Good Egg Medical,170
MyHealthChecked,170
Northway Clinic,170
PharmaSuite,170
Remedys Pharmacy,170
Your GP Circle,170
"T/A Nash Travel, Tourism and Transport Services Ltd",174.99
0001Ace-ThetiX,175
AGG Coventry ltd ta Vantage Chemist,175
Amin Pharmacy,175
Chronomics,175
Covitests,175
Doctorcall Limited,175
Evolve Medical,175
JDoc Medical Limited (t/a JDoc365),175
JDoc Medical Linited (t/a JDoc365),175
JS Biomedical Ltd,175
London Corona Test Centre,175
Mediscan Diagnostic Services,175
NPH Group,175
"PCT Healthcare t/a Peak Pharmacy, Manor Pharmacy, Cox-Robinson Pharmacy",175
Pharmesthetics Ltd,175
Research Consultancy and Health Ltd,175
Roshni Clinic,175
