company_name,Assignments
29 fleet street ltd,1
harley street nurses,1
treated.com,1
test for now ltd,1
national covid testing (klinical enterprises ltd),1
"t/a nash travel, tourism and transport services ltd",1
covid mobile health services/remote trauma ld,1
harley street nurses ltd,1
one scientic ltd,1
"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd.",1
"bansals pharmacy (southend on sea),",1
uk testing arrival centre,1
acethetix testing services,1
one scientific ltd.,1
my local travel clinic,1
vitox,1
labmedexpert limited,1
medicspot,1
dr. shilpa dave private gp teddington,1
elite safety clinic,1
calder pharmacy & medspa clinic,1
1corporate covid tests,1
northend clinic,1
jace medical,1
covido,1
concepto clinic,1
expresstest by cignpost diagnostics,1
pharmesthetics ltd,1
247hometesting.com,1
"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy",1
shakib&neale limitd (107 harley street),1
harley medic international,1
andres pharmacy,1
the mayfair gp clinic,1
chb medical,1
lord's pharmacy,1
assured screening.com,1
@covid19 health clinics limited,1
+001 expert covid testing uk,1
121 pure testing,1
herts,1
000 book a travel test,1
brunswick hygiene,1
arrival testing,1
my express testing uk,1
12-14 pharmacy,1
ypchealth,1
10 hs linknurse clinic london,1
express testing,1
randox laboratories ltd,1
medinow,1
london screening centre,1
me360 testing services,1
fakir chemist,1
nl clinic,1
your private health,1
covid19 health clinics limited,1
cryo express,1
midland health,1
ace-thetix,1
leeds covid testing ltd,0
new street pharmacy,1
al-shadhilli ltd,1
.001my express testing,1
global covid19 testing,1
jdoc medical linited (t/a jdoc365),1
15 minute covid test,1
1rapid clinics,1
mayfair doctors,1
chase lodge hospital,1
klinical enterprises ltd t/a national covid testing,1
pyser testing,1
private gp clinic,1
roc private clinic,1
alphamedicol ltd.,1
insta care solutions limited,1
00 harley medic international,1
harveyrhys clinic,1
evolve medical,1
samedaydoctor manchester,1
clear diagnostics ltd,1
a yct medlabs,1
moore medical practice,1
london medical concierge,1
london covid testing,1
me360 healthcare ltd t/a me360 testing services,1
daya pharmacy,1
1 corporate covid tests,1
london elite health,1
tuli health,1
everything genetic limited,1
leeds covid testing,1
easy testing ltd,1
zen healthcare,1
pyramid pharmacy,1
chelsea pharmacy medical clinic,1
0+g16 covid testing,0
occupational health bristol,1
