company_name,registered_name,is_registered
#nomad travel,,False
*everything genetic ltd,,False
+001 expert covid testing uk,,False
+247 travel tests,,False
+44 covid test,,False
.0000covid 19 private test ltd,covid private tests limited,True
.0001 ace-thetix,,False
.001expert tms limited,,False
.001my express testing,,False
.004 medical testing,j2 medical testing uk ltd,True
.expert doctors,expert doctors ltd,True
.medical covid test,,False
0 covid clear,covid clear environment ltd,True
0+blindspot global,blindspot ltd,True
0+g16 covid testing,,False
0-100 travel 19,,False
00 harley medic international,,False
000 book a travel test,,False
0000covid 19 private test ltd,covid private tests limited,True
0001ace-thetix,,False
0001travelscreening,,False
001 alpha express testing,,False
001 covid test,,False
001 digital health group ltd t/a pharma diagnostics,,False
001 expert covid testing uk,,False
001aexpresstesting,,False
001expert covid testing uk,,False
004 medical testing,4 medical testing limited,True
0044 covid test,,False
0044healthtesting,,False
004medical testing,,False
00analysis1,,False
00expert tms limited,,False
01 ct24 solutions ltd,,False
01 harley street,harley street breast clinics ltd,True
01 health hub,arts & health hub c.i.c.,True
01harleystreet,,False
01pcrtravel london,,False
01st class testing,,False
04 medical testing,4 medical testing limited,True
044 covid test,,False
0ptimized body & mind,,False
1  harley medic international,,False
1  nomad,,False
1 affordabletest.com,,False
1 alpha express testing,,False
1 corporate covid tests,,False
1 covclinics,,False
1 harley medic international,,False
1 health hub,,False
1 health hub ltd,,False
1 nhl pharmacy,,False
1 pcrtravel london,,False
1 st class testing,,False
1 stop covid shop,1 stop covid testing ltd,True
10 harley linknurse clinic london,,False
10 hs linknurse clinic london,,False
100 covid clear,,False
101 covid travel clinic,,False
101 expert doctors,expert doctors ltd,True
101 testing,,False
1010labs,,False
107 harley street,,False
118 testing,,False
118testing,,False
12-14 pharmacy,,False
121 covicall,,False
121 pure testing,just pure testing ltd,True
123 clinics,,False
123 covid labs,,False
123clinics,,False
123covidtests,,False
123tests.co.uk,,False
15 minute covid test,,False
1affordabletest,,False
1affordabletest.com,,False
1corporate covid tests,,False
1rapid clinics,,False
1st class testing,peters share class testing ltd,True
1st class testing ltd,peters share class testing ltd,True
1west end medical practice uk,west end medical practice (uk) ltd,True
1west end medical practice uk ltd,west end medical practice (uk) ltd,True
1westendmedicalpracticeuk,,False
20/30 labs,,False
247 travel tests,uk travel tests ltd,True
247hometesting,,False
247hometesting.com,,False
258 postal racoo screening ltd,,False
29 fleet street ltd,,False
29 fleet street ltd t/a fleet street clinic,,False
3a covid testing limited,ais covid testing ltd,True
3six health,3six healthcare limited,True
4 medical testing,j2 medical testing uk ltd,True
@001 alpha express testing,,False
@01a my express testing,,False
@corona tests,,False
@covid19 health clinics limited,,False
