trustpilot_score,score_category,is_reviewed,company_name
3.1,3-4,True,#nomad travel
,No Score,False,*everything genetic ltd
3.1,3-4,True,+001 expert covid testing uk
2.7,2-3,True,+247 travel tests
1.5,1-2,True,+44 covid test
,No Score,False,.0000covid 19 private test ltd
,No Score,False,.0001 ace-thetix
3.1,3-4,True,.001expert tms limited
3.9,3-4,True,.001my express testing
3.4,3-4,True,.004 medical testing
3.0,2-3,True,.expert doctors
,No Score,False,.medical covid test
,No Score,False,0 covid clear
3.0,2-3,True,0+blindspot global
2.9,2-3,True,0+g16 covid testing
1.4,1-2,True,0-100 travel 19
4.4,4-5,True,00 harley medic international
2.1,2-3,True,000 book a travel test
,No Score,False,0000covid 19 private test ltd
,No Score,False,0001ace-thetix
,No Score,False,0001travelscreening
3.6,3-4,True,001 alpha express testing
2.0,1-2,True,001 covid test
,No Score,False,001 digital health group ltd t/a pharma diagnostics
3.1,3-4,True,001 expert covid testing uk
3.9,3-4,True,001aexpresstesting
3.1,3-4,True,001expert covid testing uk
3.4,3-4,True,004 medical testing
1.5,1-2,True,0044 covid test
,No Score,False,0044healthtesting
3.4,3-4,True,004medical testing
,No Score,False,00analysis1
3.1,3-4,True,00expert tms limited
3.8,3-4,True,01 ct24 solutions ltd
3.8,3-4,True,01 harley street
,No Score,False,01 health hub
3.8,3-4,True,01harleystreet
,No Score,False,01pcrtravel london
2.1,2-3,True,01st class testing
3.4,3-4,True,04 medical testing
1.5,1-2,True,044 covid test
3.3,3-4,True,0ptimized body & mind
4.4,4-5,True,1  harley medic international
3.1,3-4,True,1  nomad
2.7,2-3,True,1 affordabletest.com
3.6,3-4,True,1 alpha express testing
3.3,3-4,True,1 corporate covid tests
3.4,3-4,True,1 covclinics
4.4,4-5,True,1 harley medic international
,No Score,False,1 health hub
,No Score,False,1 health hub ltd
,No Score,False,1 nhl pharmacy
,No Score,False,1 pcrtravel london
2.1,2-3,True,1 st class testing
1.6,1-2,True,1 stop covid shop
,No Score,False,10 harley linknurse clinic london
,No Score,False,10 hs linknurse clinic london
3.1,3-4,True,100 covid clear
4.5,4-5,True,101 covid travel clinic
3.0,2-3,True,101 expert doctors
3.5,3-4,True,101 testing
1.3,1-2,True,1010labs
,No Score,False,107 harley street
,No Score,False,118 testing
,No Score,False,118testing
,No Score,False,12-14 pharmacy
,No Score,False,121 covicall
,No Score,False,121 pure testing
,No Score,False,123 clinics
2.8,2-3,True,123 covid labs
,No Score,False,123clinics
1.4,1-2,True,123covidtests
1.4,1-2,True,123tests.co.uk
3.7,3-4,True,15 minute covid test
2.7,2-3,True,1affordabletest
2.7,2-3,True,1affordabletest.com
3.3,3-4,True,1corporate covid tests
2.2,2-3,True,1rapid clinics
2.1,2-3,True,1st class testing
2.1,2-3,True,1st class testing ltd
,No Score,False,1west end medical practice uk
,No Score,False,1west end medical practice uk ltd
,No Score,False,1westendmedicalpracticeuk
3.7,3-4,True,20/30 labs
2.7,2-3,True,247 travel tests
1.6,1-2,True,247hometesting
1.6,1-2,True,247hometesting.com
,No Score,False,258 postal racoo screening ltd
,No Score,False,29 fleet street ltd
,No Score,False,29 fleet street ltd t/a fleet street clinic
,No Score,False,3a covid testing limited
4.4,4-5,True,3six health
3.4,3-4,True,4 medical testing
3.9,3-4,True,@001 alpha express testing
,No Score,False,@01a my express testing
,No Score,False,@corona tests
3.8,3-4,True,@covid19 health clinics limited
4.3,4-5,True,@harley street nurses (t/a harley street nurses ltd)
,No Score,False,a hasu diagnostics
,No Score,False,a yct medlabs
,No Score,False,a1 covid testing
,No Score,False,a1 global testing limited
,No Score,False,a1 track&travel
3.2,3-4,True,abbeycovidscreening
3.2,3-4,True,abg covic ltd
3.2,3-4,True,abicare health
2.8,2-3,True,abicare health solutions
,No Score,False,abicare health solutions ltd (riva health)
,No Score,False,accendolab limited
,No Score,False,ace-thetix
,No Score,False,acethetix
,No Score,False,acethetix testing services
,No Score,False,acorn occupational health ltd
2.5,2-3,True,advisa  medica
,No Score,False,advisa medica
,No Score,False,aeromedical consulting uk
,No Score,False,aesthetika clinic
,No Score,False,af aesthetics (enoura medical)
,No Score,False,affinity health
,No Score,False,afforable tfnow
,No Score,False,agg coventry ltd ta vantage chemist
,No Score,False,agilis health
4.4,4-5,True,ais covid testing ltd
4.4,4-5,True,al-shadhilli ltd
4.7,4-5,True,alexandru livinschi (t/a bai long ltd)
4.6,4-5,True,alexandru livinschi (t/a gat c-19)
,No Score,False,all healthcare
,No Score,False,alphabiolabs
3.7,3-4,True,alphamedicol ltd
,No Score,False,alphamedicol ltd.
,No Score,False,ambulance services 24 ltd
,No Score,False,ambutech pre-hospital care
,No Score,False,amin pharmacy
,No Score,False,an sf screening and vaccination service
,No Score,False,analysis1
,No Score,False,andres pharmacy
4.3,4-5,True,anglia dna services
3.9,3-4,True,anglo belgravia
,No Score,False,apollo testing
2.9,2-3,True,arrival diagnostics
2.9,2-3,True,arrival test centre
3.7,3-4,True,arrival testing
4.4,4-5,True,arriving uk
,No Score,False,arrivinguk
4.4,4-5,True,ask chemist
,No Score,False,assured screening
,No Score,False,assured screening.com
,No Score,False,assuredscreening.com
,No Score,False,atlas medical services ltd
4.6,4-5,True,atropa blood clinic
4.6,4-5,True,atruchecks
,No Score,False,audley pharmacy
,No Score,False,avante health ltd
,No Score,False,avante health private gp
,No Score,False,avery labs
,No Score,False,avicenna health
,No Score,False,bansals pharmacy
,No Score,False,bansals pharmacy (southend on sea)
4.4,4-5,True,"bansals pharmacy (southend on sea),"
4.2,4-5,True,barkerhouse pharmacy
2.6,2-3,True,baseline medicine
3.7,3-4,True,bestway national chemists t/a well pharmacy ltd
4.0,3-4,True,better2know
,No Score,False,biograd diagnostic laboratories
,No Score,False,biograd diagnostics
,No Score,False,biogroup laboratory
4.9,4-5,True,biolab london ltd
3.0,2-3,True,biotherapy services
3.0,2-3,True,black and banton
1.8,1-2,True,blackburn travel clinic
,No Score,False,blindspot global
4.0,3-4,True,blindspot global ltd
,No Score,False,blue horizon medicals
1.9,1-2,True,book a travel test
1.9,1-2,True,boots uk
4.4,4-5,True,bristol travel clinic
4.4,4-5,True,brunswick hygiene
,No Score,False,brunswick hygiene ltd
,No Score,False,bupa occupational health ltd
,No Score,False,bupa occupational health ltd.
,No Score,False,c & h esher limited (t/a central pharmacy)
,No Score,False,c & h esher ltd
4.9,4-5,True,"c & h esher ltd t/a central pharmacy, esher"
,No Score,False,c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus
,No Score,False,"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus"
,No Score,False,c19 testing
,No Score,False,calder pharmacy & medspa clinic
,No Score,False,calder pharmacy & medspa clinic notting hill
,No Score,False,calder pharmacy & medspa clinic of notting hill
,No Score,False,caliber medical services
,No Score,False,candarin medical
4.3,4-5,True,caxton pharmacy
4.3,4-5,True,centennial medical care
3.3499999999999996,3-4,True,chase lodge hospital
,No Score,False,chb medical
,No Score,False,chb medical ltd
,No Score,False,check my body health
,No Score,False,chelsea medical
,No Score,False,chelsea pharmacy medical clinic
3.3,3-4,True,"cheltenham, west midlands & worcester travel clinics"
3.7,3-4,True,"cheltenham, worcester & west midlands travel clinics"
4.9,4-5,True,"cheltenham, worcester and west midlands travel clinics"
,No Score,False,chhp and ceritific
,No Score,False,chronomics
,No Score,False,cht
4.5,4-5,True,church pharmacy
2.9,2-3,True,church pharmacy weybridge
3.9,3-4,True,churchill's pharmacy
3.9,3-4,True,cignpost diagnostics
4.5,4-5,True,circular 1 health ltd
4.3,4-5,True,citydoc medical
,No Score,False,citydoc medical limited
,No Score,False,ck doctors covid travel clinics
,No Score,False,claret diagnostics ltd
4.7,4-5,True,clear diagnostics
3.2,3-4,True,clear diagnostics ltd
,No Score,False,clinicare uk
4.3,4-5,True,clnq
3.3,3-4,True,coker chest clinic
4.6,4-5,True,collingwood health
,No Score,False,collinson
,No Score,False,complete covid tests
3.3,3-4,True,concepto clinic
3.3,3-4,True,concierge medical
3.4,3-4,True,concierge medical practice
4.1,4-5,True,confirm testing
4.6,4-5,True,confirm testing limited
,No Score,False,consultant clinic
,No Score,False,coop pharmacy
1.8,1-2,True,corona test centre
1.8,1-2,True,corona testing
