company_name,Assignments,email_invalid,phone_invalid,num_matches,num_jumps,max_change,registered_name,is_registered,trustpilot_score,score_category,is_reviewed
29 fleet street ltd,1,False,False,2.0,0.0,0.0,,False,,No Score,False
harley street nurses,1,True,False,4.0,0.0,0.0,harley street nominees limited,True,3.8,3-4,True
treated.com,1,False,False,1.0,1.0,100.0,,False,,No Score,False
test for now ltd,1,True,False,2.0,0.0,0.0,,False,1.9,1-2,True
national covid testing (klinical enterprises ltd),1,True,False,3.0,1.0,86.50088809946716,,False,,No Score,False
"t/a nash travel, tourism and transport services ltd",1,True,False,3.0,1.0,3.669926784960635,,False,,No Score,False
covid mobile health services/remote trauma ld,1,True,False,1.0,0.0,0.0,,False,,No Score,False
harley street nurses ltd,1,True,False,4.0,0.0,0.0,,False,,No Score,False
one scientic ltd,1,True,False,1.0,0.0,0.0,,False,3.7,3-4,True
"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd.",1,True,False,3.0,1.0,3.669926784960635,,False,,No Score,False
"bansals pharmacy (southend on sea),",1,False,False,3.0,1.0,30.681818181818183,,False,4.4,4-5,True
uk testing arrival centre,1,True,True,1.0,0.0,0.0,,False,,No Score,False
acethetix testing services,1,True,False,3.0,2.0,37.288135593220346,.0001 ace - thetix testing services ltd,True,,No Score,False
one scientific ltd.,1,True,False,2.0,1.0,10.422535211267606,one scientific limited,True,3.3,3-4,True
my local travel clinic,1,True,False,1.0,0.0,0.0,,False,4.3,4-5,True
vitox,1,True,False,1.0,0.0,0.0,vitox ltd,True,,No Score,False
labmedexpert limited,1,True,False,2.0,2.0,42.07650273224044,,False,,No Score,False
medicspot,1,True,False,1.0,0.0,0.0,medic spot limited,True,,No Score,False
dr. shilpa dave private gp teddington,1,False,False,3.0,0.0,0.0,,False,,No Score,False
elite safety clinic,1,True,False,1.0,0.0,0.0,,False,,No Score,False
calder pharmacy & medspa clinic,1,True,False,3.0,2.0,45.0,,False,,No Score,False
1corporate covid tests,1,False,False,4.0,3.0,29.761904761904763,,False,3.3,3-4,True
northend clinic,1,False,False,1.0,2.0,19.597989949748744,north end clinic limited,True,1.9,1-2,True
jace medical,1,True,False,2.0,1.0,44.52214452214452,,False,2.7,2-3,True
covido,1,False,False,1.0,1.0,15.789473684210526,covid office conversions limited,True,,No Score,False
concepto clinic,1,False,False,1.0,1.0,18.867924528301888,,False,3.3,3-4,True
expresstest by cignpost diagnostics,1,True,False,4.0,1.0,27.918781725888326,cignpost diagnostics limited,True,,No Score,False
pharmesthetics ltd,1,False,False,2.0,0.0,0.0,,False,,No Score,False
247hometesting.com,1,True,False,2.0,3.0,80.62015503875969,,False,1.6,1-2,True
"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy",1,True,False,2.0,1.0,14.285714285714285,,False,3.1,3-4,True
