,company_link_0,company_link_1,company_link_2,company_link_3,company_name
0,  cheapest  shocking false breach use     earlier   use receive   appalling  harder    work rude             poor,,,,#nomad travel
1,,,,,*everything genetic ltd
2, poor critical ridiculous missed missed terrible shame scam false match match lost trusted poor working recognise over priced use    poor   inefficient   limited use slimy poor shoddy poor,,,,+44 covid test
3,,,,,.0000covid 19 private test ltd
4,,,,,.0001 ace-thetix
5,use appalling  waiting waiting   bad registered    thank             use   ,,,,.001expert tms limited
6,recommend horrific failed express lost delayed   shortened    terrible invalid disappointed  poor avoided  use available      ,,,,.001my express testing
7,  avoid  wrong,,,,.004 medical testing
8,  deliver unethical     recommend impossible    worst stupid recommend like        ,,,,.expert doctors
9,,,,,.medical covid test
10,,,,,0 covid clear
11,  never received fraud               missing work   helpful  refuses terrible awful working  respond cancelled  ,,,,0+blindspot global
12,poor awful   use  ,,,,0+g16 covid testing
13,available   expensive sensitive fake stay away frustratedscam expensive scam dishonest misleading misleading available ,,,,0-100 travel 19
14,exist        simpler              appalling wasted         ,,,,00 harley medic international
15,atrocious error disconnected scam scam issue issue cancelled issue avoid follow usefake  amateurish,,,,000 book a travel test
16,,,,,0000covid 19 private test ltd
17,,,,,0001ace-thetix
18,,,,,0001travelscreening
19,hesitate wrong ,,,,001 alpha express testing
20,bad horrendous horrendous abysmal process process ignored ignored ignored overpriced avoid exist use conducted worse horrible use use use never shady sketchy poorly pointlesswrong,bad horrendous horrendous abysmal process process ignored ignored ignored overpriced avoid exist use conducted worse horrible use use use never shady sketchy poorly pointlesswrong,,,001 covid test
21,,,,,001 digital health group ltd t/a pharma diagnostics
22,use appalling  waiting waiting   bad registered    thank             use   ,,,,001 expert covid testing uk
23,recommend horrific failed express lost delayed   shortened    terrible invalid disappointed  poor avoided  use available      ,,,,001aexpresstesting
24,use appalling  waiting waiting   bad registered    thank             use   ,,,,001expert covid testing uk
25,  avoid  wrong,,,,004 medical testing
26, poor critical ridiculous missed missed terrible shame scam false match match lost trusted poor working recognise over priced use    poor   inefficient   limited use slimy poor shoddy poor, poor critical ridiculous missed missed terrible shame scam false match match lost trusted poor working recognise over priced use    poor   inefficient   limited use slimy poor shoddy poor,,,0044 covid test
27,,,,,0044healthtesting
28,  avoid  wrong,,,,004medical testing
29,,,,,00analysis1
30,use appalling  waiting waiting   bad registered    thank             use   ,,,,00expert tms limited
31,       minefield recommend                   dismal  ,,,,01 ct24 solutions ltd
32,abysmal false match match match rings off                inferior          ,,,,01 harley street
33,,,,,01 health hub
34,abysmal false match match match rings off                inferior          ,,,,01harleystreet
